date	externalid	number	constant	digits	decimals
2008-10-03	735999999000143247	3806262360	1.000	6	0
2006-10-30	735999999000149522	86015497	1.000	6	0
2006-10-26	735999999000149614	86015603	1.000	6	0
2006-10-20	735999999000151389	86017411	1.000	6	0
2006-10-20	735999999000151396	86017380	1.000	6	0
2008-09-04	735999999000074756	3806256879	1.000	6	0
2008-09-04	735999999000074763	3806255593	1.000	6	0
2008-10-03	735999999000143315	3806252903	1.000	6	0
2008-09-29	735999999000143339	3806260782	1.000	6	0
2006-10-16	735999999000149706	86017315	1.000	6	0
2006-10-30	735999999000150009	86024719	1.000	6	0
2006-10-20	735999999000151402	86015922	1.000	6	0
2006-10-20	735999999000151419	86015917	1.000	6	0
2006-10-30	735999999000150092	86015481	1.000	6	0
2006-10-30	735999999000150184	86015493	1.000	6	0
2008-10-03	735999999000143353	3806252428	1.000	6	0
2008-10-03	735999999000143407	3806260644	1.000	6	0
2006-10-20	735999999000151556	86015892	1.000	6	0
2006-10-20	735999999000151563	86015738	1.000	6	0
2006-11-02	735999999000150276	86015490	1.000	6	0
2006-11-02	735999999000150368	86024315	1.000	6	0
2013-05-23	735999999000143421	1301514396	1.000	6	0
2008-10-01	735999999000143490	3806252694	1.000	6	0
2008-09-04	735999999000074770	3806257302	1.000	6	0
2008-09-04	735999999000074787	3806257360	1.000	6	0
2006-10-20	735999999000151570	86015942	1.000	6	0
2006-10-20	735999999000151587	86015943	1.000	6	0
2006-11-29	735999999000150450	88322179	1.000	6	0
2006-10-25	735999999000150597	86015611	1.000	6	0
2013-01-07	735999999000143513	3806251536	1.000	6	0
2008-10-01	735999999000143582	3806252447	1.000	6	0
2006-10-20	735999999000151716	86015951	1.000	6	0
2006-10-20	735999999000151723	86015949	1.000	6	0
2008-10-01	735999999000143605	3806252305	1.000	6	0
2008-10-01	735999999000143650	3806252700	1.000	6	0
2006-10-20	735999999000151730	86015948	1.000	6	0
2006-11-21	735999999000151747	88322022	1.000	6	0
2008-12-16	735999999000150689	3806251863	1.000	6	0
2008-12-05	735999999000150702	3806251714	1.000	6	0
2008-10-01	735999999000143674	3806252498	1.000	6	0
2008-09-30	735999999000143834	3806252445	1.000	6	0
2006-10-16	735999999000151884	86015805	1.000	6	0
2006-10-16	735999999000151891	86015806	1.000	6	0
2009-01-09	735999999000150757	3806252252	1.000	6	0
2008-12-11	735999999000150771	3806251570	1.000	6	0
2008-10-03	735999999000074930	3806254340	1.000	6	0
2008-10-01	735999999000074954	3806254617	1.000	6	0
2008-09-30	735999999000143858	3806257726	1.000	6	0
2008-10-28	735999999000143995	3806251367	1.000	6	0
2006-10-16	735999999000151907	86016020	1.000	6	0
2006-10-16	735999999000151914	86016021	1.000	6	0
2006-10-18	735999999000150863	86017432	1.000	6	0
2006-10-19	735999999000150931	86017366	1.000	6	0
2006-10-16	735999999000152058	86015838	1.000	6	0
2006-10-16	735999999000152065	86015837	1.000	6	0
2008-10-27	735999999000144015	3806252188	1.000	6	0
2013-11-22	735999999000144084	1301463133	1.000	6	0
2006-10-19	735999999000150955	86017368	1.000	6	0
2006-10-19	735999999000151006	86015785	1.000	6	0
2006-10-17	735999999000152072	86015706	1.000	6	0
2006-10-17	735999999000152089	86017301	1.000	6	0
2008-02-11	735999999000075098	3806014250	1.000	6	0
2008-02-11	735999999000075128	3806014461	1.000	6	0
2008-10-27	735999999000144107	3806252386	1.000	6	0
2008-10-02	735999999000144176	3806252448	1.000	6	0
2006-10-19	735999999000151099	86017361	1.000	6	0
2006-10-19	735999999000151112	86015803	1.000	6	0
2007-11-26	735999999000152218	86022082	1.000	6	0
2006-10-17	735999999000152225	86015765	1.000	6	0
2006-10-19	735999999000151181	86017370	1.000	6	0
2006-10-19	735999999000151204	86017390	1.000	6	0
2006-10-17	735999999000152232	86017285	1.000	6	0
2006-09-05	735999999000152249	86372259	1.000	6	0
2008-10-02	735999999000144244	3806254671	1.000	6	0
2008-10-02	735999999000144268	3806254599	1.000	6	0
2006-10-19	735999999000151259	86017395	1.000	6	0
2006-10-19	735999999000151273	86017397	1.000	6	0
2006-10-17	735999999000152256	86015700	1.000	6	0
2006-10-17	735999999000152386	86017231	1.000	6	0
2008-02-15	735999999000075265	3806014591	1.000	6	0
2008-02-13	735999999000075425	3806014469	1.000	6	0
2008-10-09	735999999000144336	3806256113	1.000	6	0
2008-10-08	735999999000144350	3806257206	1.000	6	0
2006-10-19	735999999000151341	86017408	1.000	6	0
2006-10-20	735999999000151365	86017377	1.000	6	0
2006-10-17	735999999000152393	86017228	1.000	6	0
2006-10-17	735999999000152409	86017227	1.000	6	0
2006-10-20	735999999000151433	86015920	1.000	6	0
2006-10-20	735999999000151457	86017413	1.000	6	0
2006-10-17	735999999000152416	86017224	1.000	6	0
2006-10-17	735999999000152553	86017239	1.000	6	0
2008-10-08	735999999000144404	3806252803	1.000	6	0
2008-10-09	735999999000144428	3806256269	1.000	6	0
2006-10-17	735999999000152560	86017240	1.000	6	0
2006-10-17	735999999000152577	86017264	1.000	6	0
2006-10-20	735999999000151501	86015728	1.000	6	0
2006-10-20	735999999000151525	86015906	1.000	6	0
2008-10-28	735999999000075456	90435275	1.000	6	0
2008-02-13	735999999000075593	3806014543	1.000	6	0
2008-10-08	735999999000144497	3806257254	1.000	6	0
2008-10-09	735999999000144510	3806251950	1.000	6	0
2006-10-24	735999999000152584	86015881	1.000	6	0
2006-10-24	735999999000152720	86015653	1.000	6	0
2006-10-20	735999999000151549	86015894	1.000	6	0
2006-10-20	735999999000151594	86015896	1.000	6	0
2007-12-11	735999999000152737	88322058	1.000	6	0
2006-10-24	735999999000152744	86015651	1.000	6	0
2006-10-20	735999999000151617	86015911	1.000	6	0
2006-10-20	735999999000151686	86017356	1.000	6	0
2008-10-01	735999999000144589	3806252884	1.000	6	0
2008-10-02	735999999000144602	3806257466	1.000	6	0
2006-10-20	735999999000151709	86015938	1.000	6	0
2006-10-20	735999999000151754	86015952	1.000	6	0
2008-02-11	735999999000075623	3806014309	1.000	6	0
2008-11-18	735999999000075753	90435434	1.000	6	0
2006-10-25	735999999000152751	86015931	1.000	6	0
2008-09-18	735999999000152881	3806262138	1.000	6	0
2008-10-02	735999999000144657	3806257069	1.000	6	0
2008-10-02	735999999000144671	3806256805	1.000	6	0
2006-10-16	735999999000151778	86015695	1.000	6	0
2006-10-16	735999999000151792	86015844	1.000	6	0
2008-11-18	735999999000075760	90435435	1.000	6	0
2012-10-16	735999999000075777	90434617	1.000	6	0
2006-10-25	735999999000152898	86015622	1.000	6	0
2006-10-25	735999999000152904	86015937	1.000	6	0
2008-10-02	735999999000144749	3806257011	1.000	6	0
2008-10-01	735999999000144763	3806253053	1.000	6	0
2006-10-25	735999999000152911	86015601	1.000	6	0
2006-10-26	735999999000153055	86015645	1.000	6	0
2008-10-01	735999999000144831	3806252728	1.000	6	0
2008-03-03	735999999000144923	89760553	1.000	6	0
2006-10-16	735999999000151846	86015809	1.000	6	0
2006-10-16	735999999000151860	86015703	1.000	6	0
2006-10-25	735999999000153062	86015599	1.000	6	0
2006-10-26	735999999000153079	86015547	1.000	6	0
2006-11-09	735999999000145081	86021243	1.000	6	0
2006-11-09	735999999000145173	86021240	1.000	6	0
2006-10-16	735999999000151938	86016024	1.000	6	0
2006-10-16	735999999000151952	86015759	1.000	6	0
2008-11-18	735999999000075784	90435432	1.000	6	0
2008-09-25	735999999000075791	3806257402	1.000	6	0
2008-03-01	735999999000153086	TM210602	1.000	9	0
2008-03-01	735999999000153086	93688000	1.000	6	2
2006-11-16	735999999000145265	86021167	1.000	6	0
